Name,Lat,Long,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/16/2020
"King,Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suffolk,Massachusetts",42.3279514,-71.07850442,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,8,8,10,20,22,26,27,27,36,42,51,72,86,108,126,154,234,342,448,631,843,940,1115,1373,1624,1896,2183,2429,2658,2929,3245,3600,4041,4534,4926,5359,5579,5872,6820
"Suffolk,Massachusetts",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.666666667,0,0.25,1,0.1,0.181818182,0.038461538,0,0.333333333,0.166666667,0.214285714,0.411764706,0.194444444,0.255813953,0.166666667,0.222222222,0.519480519,0.461538462,0.30994152,0.408482143,0.335974643,0.115065243,0.186170213,0.231390135,0.182811362,0.167487685,0.151371308,0.11268896,0.09427748,0.101956358,0.107886651,0.109399076,0.1225,0.121999505,0.086457874,0.087900934,0.041052435,0.052518372,0.161444142
"Suffolk,Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee,Wisconsin",43.00486062,-87.96733172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,13,24,47,62,95,126,182,204,243,325,347,411,541,606,617,710,780,869,1023,1023,1190,1256,1323,1416,1484,1575,1653,1710,1743,1795,1947
"Milwaukee,Wisconsin",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.166666667,0.846153846,0.958333333,0.319148936,0.532258065,0.326315789,0.444444444,0.120879121,0.191176471,0.33744856,0.067692308,0.18443804,0.316301703,0.120147874,0.018151815,0.150729335,0.098591549,0.114102564,0.17721519,0,0.163245357,0.055462185,0.053343949,0.070294785,0.048022599,0.061320755,0.04952381,0.034482759,0.019298246,0.02983362,0.084679666
"Milwaukee,Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ontario,Canada",51.2538,-85.3232,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,6,11,15,18,20,20,22,25,28,29,34,36,41,42,74,79,104,177,185,221,257,308,377,425,503,588,688,858,994,1144,1355,1706,1966,2392,2793,3255,3630,4354,4347,4726,5276,5759,6237,6648,7049,7470,7953,9840
"Ontario,Canada",,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.5,0,0.833333333,0.363636364,0.2,0.111111111,0,0.1,0.136363636,0.12,0.035714286,0.172413793,0.058823529,0.138888889,0.024390244,0.761904762,0.067567568,0.316455696,0.701923077,0.04519774,0.194594595,0.162895928,0.19844358,0.224025974,0.127320955,0.183529412,0.168986083,0.170068027,0.247093023,0.158508159,0.150905433,0.184440559,0.25904059,0.152403283,0.216683622,0.16764214,0.165413534,0.115207373,0.199449036,-0.001607717,0.087186565,0.116377486,0.091546626,0.083000521,0.065897066,0.060318893,0.059724784,0.064658635,0.237268955
"Ontario,Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,43,12,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,62,155,229,322,453,655,888,1128,1694,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,12462,17660,21157,24747,27980,31506,35713,41035,47021,53578,59138,63927,69176,74386,80589,86498,92472,97689,101739,105792,110574,115242,119827,124632,128948,132547,135586,139422,143626,147577,152271,156363,159516,162488,168941
Italy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5.666666667,2.1,1.5,0.477419355,0.406113537,0.406832298,0.445916115,0.355725191,0.27027027,0.50177305,0.20188902,0.228880157,0.23461231,0.24894788,0.201658891,0.268981881,0.253612103,0.243661017,0.106519843,0.227904227,0,0.417108008,0.19801812,0.169683793,0.130642098,0.126018585,0.133530121,0.149021365,0.145875472,0.139448332,0.103773937,0.08098008,0.082109281,0.075315138,0.083389347,0.073322662,0.069065181,0.056417078,0.041458097,0.039837231,0.045201906,0.042216072,0.039785842,0.040099477,0.034629951,0.027910476,0.022927716,0.028292007,0.03015306,0.027508947,0.031807124,0.026873141,0.020164617,0.01863136,0.039713702
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,40,-4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,13,15,32,45,84,120,165,222,259,400,500,673,1073,1695,2277,2277,5232,6391,7798,9942,11748,13910,17963,20410,25374,28768,35136,39885,49515,57786,65719,73235,80110,87956,95923,104118,112065,119199,126168,131646,136675,141942,148220,153222,158273,163027,166831,170099,172541,184948
Spain,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.166666667,0.153846154,1.133333333,0.40625,0.866666667,0.428571429,0.375,0.345454545,0.166666667,0.544401544,0.25,0.346,0.59435364,0.579683131,0.343362832,0,1.297760211,0.221521407,0.220153341,0.274942293,0.181653591,0.184031324,0.291373113,0.136224461,0.243214111,0.133758966,0.221357063,0.135160519,0.241444152,0.167040291,0.137282387,0.114365709,0.093875879,0.097940332,0.090579381,0.085433108,0.07632686,0.063659483,0.058465256,0.043418299,0.038200933,0.038536675,0.044229333,0.033747133,0.03296524,0.030036709,0.023333558,0.019588686,0.014356345,0.071907547
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,46.2276,2.2137,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,14,18,38,57,100,130,191,204,285,377,653,949,1126,1209,1784,2281,2281,3661,4469,4499,6633,7652,9043,10871,12612,14282,16018,19856,22304,25233,29155,32964,37575,40174,44550,52128,56989,59105,64338,68605,70478,74390,78167,82048,86334,90676,93790,120633,124298,130253,145960
France,,,0,0,0,0.5,0,0,0.333333333,0.25,0,0,0.2,0,0,0,0,0,0,0.833333333,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0.166666667,0.285714286,1.111111111,0.5,0.754385965,0.3,0.469230769,0.068062827,0.397058824,0.322807018,0.732095491,0.453292496,0.186512118,0.073712256,0.475599669,0.278587444,0,0.604997808,0.220704725,0.006712911,0.474327628,0.15362581,0.181782541,0.202145306,0.16015086,0.132413574,0.121551603,0.239605444,0.123287671,0.131321736,0.15543138,0.130646544,0.139879869,0.06916833,0.108926171,0.17010101,0.093251228,0.037129972,0.088537349,0.066321614,0.027301217,0.055506683,0.050772953,0.049650108,0.052237715,0.050293048,0.034342053,0.28620322,0.030381405,0.047909057,0.120588393
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,51,9,0,0,0,0,0,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,27,46,48,79,130,159,196,262,482,670,799,1040,1176,1457,1908,2078,3675,4585,5795,7272,9257,12327,15320,19848,22213,24873,29056,32986,37323,43938,50871,57695,62095,66885,71808,77872,84794,91159,96092,100123,103374,107663,113296,118181,122171,124908,127854,130072,131359,137698
Germany,,,0,0,0,0,0,0,3,0,0,0.25,0.6,0.25,0.2,0,0,0,0.083333333,0,0.076923077,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.588235294,0.703703704,0.043478261,0.645833333,0.64556962,0.223076923,0.232704403,0.336734694,0.839694656,0.390041494,0.192537313,0.301627034,0.130769231,0.238945578,0.309540151,0.089098532,0.76852743,0.247619048,0.263904035,0.254874892,0.272964796,0.33164092,0.242800357,0.295561358,0.119155582,0.119749696,0.168174326,0.135256057,0.131480022,0.177236557,0.157790523,0.134143225,0.076263108,0.077139866,0.073603947,0.084447415,0.08888946,0.075064273,0.05411424,0.041949382,0.032470062,0.041490123,0.052320667,0.043117144,0.033761772,0.022403025,0.023585359,0.017347912,0.00989452,0.048257067
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,55.3781,-3.436,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,15,20,23,36,40,51,85,115,163,206,273,321,382,456,456,798,1140,1140,1543,1950,2626,2689,3983,5018,5683,6650,8077,9529,11658,14543,17089,19522,22141,25150,29474,33718,38168,41903,47806,51608,55242,60733,65077,73758,78991,84279,88621,93873,103093
United Kingdom,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.666666667,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0.153846154,0.333333333,0.15,0.565217391,0.111111111,0.275,0.666666667,0.352941176,0.417391304,0.263803681,0.325242718,0.175824176,0.190031153,0.193717277,0,0.75,0.428571429,0,0.353508772,0.263771873,0.346666667,0.023990861,0.481219784,0.259854381,0.132522917,0.170156607,0.214586466,0.179769716,0.223423234,0.247469549,0.175067043,0.142372286,0.134156336,0.135901721,0.171928429,0.143991314,0.131976986,0.097856843,0.140872969,0.079529766,0.070415439,0.099399008,0.071526188,0.133395823,0.070948236,0.066944335,0.051519358,0.059263606,0.098217805
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,60.472,8.4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,15,19,25,32,56,87,108,147,176,205,400,598,702,996,1090,1221,1333,1463,1550,1746,1914,2118,2385,2621,2863,3084,3369,3755,4015,4284,4445,4641,4863,5147,5370,5550,5687,5865,6086,6086,6211,6314,6409,6525,6603,6623,6896
Norway,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.5,0.266666667,0.315789474,0.28,0.75,0.553571429,0.24137931,0.361111111,0.197278912,0.164772727,0.951219512,0.495,0.173913043,0.418803419,0.09437751,0.120183486,0.091728092,0.097524381,0.059466849,0.126451613,0.096219931,0.106583072,0.126062323,0.098951782,0.092331171,0.077191757,0.092412451,0.114574058,0.069241012,0.066998755,0.037581699,0.044094488,0.047834518,0.058400165,0.043326209,0.033519553,0.024684685,0.031299455,0.037681159,0,0.020538942,0.016583481,0.01504593,0.018099548,0.011954023,0.003028926,0.041219991
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,63,16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,12,14,15,21,35,94,101,161,203,248,355,500,599,814,961,1022,1103,1190,1279,1439,1639,1763,1934,2046,2286,2526,2840,3069,3447,3700,4028,4435,4947,5568,6131,6443,6830,7206,7693,8419,9141,9685,10151,10483,10948,11445,12540
Sweden,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0.714285714,0.166666667,0.071428571,0.4,0.666666667,1.685714286,0.074468085,0.594059406,0.260869565,0.221674877,0.431451613,0.408450704,0.198,0.358931553,0.180589681,0.063475546,0.07925636,0.078875793,0.074789916,0.125097733,0.138985407,0.075655888,0.096993761,0.057911065,0.117302053,0.104986877,0.124307205,0.080633803,0.123167155,0.073397157,0.088648649,0.101042701,0.115445321,0.125530625,0.101113506,0.050888925,0.060065187,0.055051245,0.06758257,0.094371507,0.085758404,0.059512088,0.048115643,0.032706137,0.044357531,0.045396419,0.095674967
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,28,43,61,95,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,19644,20610,21638,23049,24811,27017,29406,32332,35408,38309,41495,44605,47593,50468,53183,55743,58226,60500,62589,64586,66220,68192,70029,71686,73303,74877,77995
Iran,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.6,0.555555556,0.535714286,0.418604651,0.557377049,0.463157895,0.762589928,0.583673469,0.528350515,0.649241147,0.534764826,0.556295803,0.250856164,0.202258727,0.351266724,0.226669475,0.127597458,0.090618337,0.12302751,0.119124596,0.119444444,0.127940447,0.120116156,0.094979967,0.075548859,0.078580482,0.073721319,0.060249986,0.067202695,0.049175321,0.0498787,0.065209354,0.076445833,0.088912176,0.088425806,0.099503503,0.095137944,0.081930637,0.083165836,0.074948789,0.066988006,0.060408043,0.053796465,0.048135682,0.04454371,0.039054718,0.034528926,0.031906565,0.025299601,0.029779523,0.026938644,0.023661626,0.022556706,0.021472518,0.041641626
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,38.9637,35.2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6,18,47,98,192,359,670,1236,1529,1872,2433,3629,5698,7402,9217,10827,13531,15679,18135,20921,23934,27069,30217,34109,38226,42282,47029,52167,56956,61049,65111,74193
