zip,Unknown,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+
60630,0.0,0.0,8.0,13.0,20.0,15.0,12.0,8.0,0.0
60458,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60636,0.0,0.0,9.0,19.0,21.0,19.0,16.0,21.0,10.0
60501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60103,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0
60644,0.0,0.0,16.0,26.0,31.0,45.0,30.0,17.0,15.0
60544,0.0,0.0,0.0,7.0,7.0,8.0,0.0,0.0,0.0
60521,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
60189,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0
61114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60404,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
60143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60707,0.0,0.0,7.0,10.0,16.0,19.0,13.0,0.0,0.0
60043,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
60089,0.0,0.0,0.0,7.0,0.0,14.0,9.0,0.0,0.0
60527,0.0,0.0,0.0,6.0,7.0,7.0,14.0,16.0,34.0
60467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
60172,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
60561,0.0,0.0,0.0,6.0,0.0,0.0,6.0,8.0,0.0
62233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60613,0.0,0.0,20.0,24.0,12.0,17.0,20.0,7.0,7.0
60026,0.0,0.0,0.0,7.0,9.0,8.0,0.0,0.0,0.0
60126,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0
60106,0.0,0.0,6.0,8.0,9.0,0.0,8.0,0.0,0.0
61102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
